OAK ID,Region,Total Amount Received,Amount (Instalment)
62493,IRELAND,238.49780000000004,44.33
31235,IRELAND,518.9797,193.78
2058,IRELAND,424.4525,168.92
9187,IRELAND,548.9519,96.89
56267,IRELAND,310.0918,48.52
43083,IRELAND,328.2017,44.33
39604,IRELAND,183.534,48.48
14372,DACH,625.5292000000001,84.46
37921,UK,285.87,71.07
8214,IRELAND,304.514,96.89
10902,UK,206.04000000000002,39.24
73014,IRELAND,245.5783,48.52
17343,UK,470.666,142.13
80801,UK,324.764,133.76
51792,UK,231.216,39.24
55629,UK,511.31,117.71
56424,UK,355.67400000000004,71.07
21813,UK,333.34000000000003,106.6
9931,UK,337.352,132.38
29321,UK,534.0319999999999,211.88
12965,UK,334.33000000000004,35.53
51728,USA,387.76,110.67
46325,USA,522.5899999999999,124.5
56414,USA,2578.37,1739.84
25394,USA,538.19,124.37
41831,USA,404.03,-93.28
36365,USA,782.34,248.73
37983,USA,850.49,84.56
71138,USA,443.09,166.0
46928,USA,830.0699999999999,87.13
49471,USA,628.55,110.67
21693,USA,902.13,248.73
38524,USA,1790.5900000000001,1167.44
57483,USA,1666.37,918.59
22801,USA,518.6600000000001,147.19
33157,IRELAND,486.178,109.06
19744,IRELAND,230.584,84.46
43083,IRELAND,328.2017,44.33
57202,IRELAND,182.5853,42.23
56268,IRELAND,417.53639999999996,194.07
40316,DACH,224.11000000000004,-42.23
14178,FINLAND,323.46,84.46
73018,IRELAND,370.129,109.0
48270,IRELAND,441.2332,142.54
20222,IRELAND,115.793,44.33
11119,UK,189.39999999999998,106.6
10824,IRELAND,783.7149999999999,109.06
32465,UK,377.24,78.44
48270,IRELAND,156.1532,-142.54
68152,UK,206.854,35.53
33170,DACH,482.4136,168.92
58761,UK,269.31,-71.07
46386,UK,582.05,142.13
26095,UK,273.03000000000003,94.23
10331,UK,332.67,71.07
9578,UK,458.33,267.53
39708,UK,451.074,94.23
11693,UK,563.93,267.53
10015,UK,473.886,71.07
8959,UK,294.33400000000006,35.53
60730,UK,296.588,80.0
9012,UK,418.75399999999996,117.71
49341,UK,356.48,78.44
46921,UK,392.984,133.76
9944,UK,288.078,71.07
26490,UK,226.33,35.53
51113,USA,996.2932,110.67
33243,UK,397.49399999999997,71.07
38524,USA,809.7,186.55
16824,USA,627.44,156.75
40032,USA,959.9,336.75
47614,USA,610.9100000000001,84.56
82071,USA,1030.6799999999998,282.9
23146,USA,476.0,62.18
61787,IRELAND,287.82,166.05
44887,USA,1617.6999999999998,869.92
30615,FINLAND,183.65,-55.35
68301,USA,636.12,153.33
5821,IRELAND,400.39369999999997,54.53
44817,USA,934.3299999999999,186.55
4306,IRELAND,362.7803,42.23
58012,USA,1268.01,869.92
8394,UK,331.55,88.25
22893,USA,872.0,124.22
46748,UK,313.178,142.13
55630,USA,640.21,98.13
58761,UK,233.76,-106.62
81481,CANADA,739.5999999999999,368.96
14960,UK,221.24,78.44
31235,IRELAND,179.8597,-145.34
60864,UK,259.712,78.44
14934,IRELAND,443.873,96.89
49333,UK,405.4,106.6
9614,UK,296.93,142.13
57754,UK,380.05400000000003,88.25
10109,UK,216.56,133.76
25171,UK,266.196,38.22
47816,UK,401.468,133.76
19289,UK,409.35,71.07
11617,UK,262.33000000000004,35.53
58785,UK,205.282,35.53
9325,UK,444.31800000000004,71.07
41763,UK,281.98,39.22
20292,USA,1109.75,695.93
34290,UK,202.52200000000002,35.53
28742,USA,984.4200000000001,356.43
27418,USA,3409.26,2690.52
61787,IRELAND,-44.280000000000015,-166.05
23223,USA,2167.5992,1739.84
40316,DACH,350.8,84.46
34458,USA,851.5216,169.13
56268,IRELAND,126.43639999999999,-97.03
43551,USA,955.77,124.5
31644,DACH,260.29290000000003,54.53
41911,USA,706.48,188.6
18421,UK,495.918,71.07
7941,IRELAND,620.4857999999999,166.05
74178,UK,252.878,88.25
30615,FINLAND,457.12,218.12
12971,UK,234.01000000000002,35.53
30615,FINLAND,157.2,-81.8
58761,UK,411.45,71.07
9870,UK,247.87,35.53
55629,UK,557.6700000000001,164.07
36438,UK,531.5260000000001,300.97
16312,UK,284.40200000000004,44.03
25258,UK,339.46200000000005,94.23
58450,UK,261.13,35.53
13080,UK,242.01,71.07
26978,UK,437.166,71.07
10015,UK,331.74600000000004,-71.07
75291,USA,2501.69,1670.42
9070,UK,544.8820000000001,300.97
37732,USA,1245.8400000000001,622.69
74312,UK,330.87800000000004,128.75
57865,USA,723.32,124.37
85093,UK,251.17000000000002,168.37
36512,USA,2006.83,1383.68
9560,UK,253.966,35.53
7061,IRELAND,519.7610999999999,199.26
12850,UK,230.97400000000002,35.53
13202,UK,332.93,142.13
11840,USA,729.27,424.35
57865,USA,474.58000000000004,-124.37
57865,USA,972.03,373.08
41831,USA,621.6800000000001,124.37
16179,USA,720.1600000000001,186.55
12757,USA,644.28,110.67
31325,USA,472.92,50.63
82071,USA,1030.6799999999998,282.9
23149,USA,515.74,166.05
35308,USA,777.77,124.37
43982,USA,2487.62,1739.84
59165,USA,548.31,150.22
12351,IRELAND,309.714,126.69
